number_rectangle,x_A,y_A,x_B,y_B,x_C,y_C,x_D,y_D,is_rectangle
Retângulo 0,79.58856429113942,45.92675246713286,25.48993065494448,88.16569859323542,8.443415068684445,8.267497935845192,29.591019075390324,7.0577972616874485,False
Retângulo 1,85.93845496207614,16.600315741465174,114.91294669995365,16.106551574211498,111.57670108168436,38.182192465279925,84.7622703399085,38.01294479431263,True
Retângulo 2,48.90379416813116,48.48732190991814,6.559932274664215,32.30604733724041,59.52446154349968,97.00886450074096,63.67621506259729,17.02625602139438,False
Retângulo 3,52.50397415980481,20.692732541912562,64.70434441348925,20.692732541912562,64.70434441348925,43.5199244126398,52.50397415980481,43.5199244126398,True
Retângulo 4,57.60849746853646,25.564004463225583,72.86733700087532,23.889388950349616,74.66669218362475,50.495318521030896,61.18026584491231,50.39281578176695,True
Retângulo 5,38.261386998536096,52.284618105332456,55.060914594691454,52.284618105332456,55.060914594691454,78.38033464368856,38.261386998536096,78.38033464368856,True
Retângulo 6,41.3700007968539,96.44781372824531,65.76457330952368,96.44781372824531,65.76457330952368,111.9719209078971,41.3700007968539,111.9719209078971,True
Retângulo 7,25.431581110488853,48.30555446326782,84.83053080761806,0.7469076620247206,73.79511106405626,28.220235886619736,71.915367678456,69.53900409026255,False
Retângulo 8,70.90961440277744,90.73756758884112,2.818327185764824,85.79861762456187,4.3242803887812205,96.16690729408032,97.66169715830661,11.482017333170491,False
Retângulo 9,91.39833047800668,8.877265803342416,103.69014195415781,8.877265803342416,103.69014195415781,19.192294203364405,91.39833047800668,19.192294203364405,True
Retângulo 10,52.91112392074264,51.323611896103266,78.90185279765306,49.477391002084744,80.43815196365188,62.87618360144697,52.25747800737193,64.62320171895311,True
Retângulo 11,31.186768565143442,57.157675603004364,49.00431802628579,57.157675603004364,49.00431802628579,79.82127195835474,31.186768565143442,79.82127195835474,True
Retângulo 12,9.875174758832006,82.21283456894045,35.391809791571795,82.21283456894045,35.391809791571795,94.31204677894608,9.875174758832006,94.31204677894608,True
Retângulo 13,56.74278423260576,79.67116234778975,85.06702007351839,81.84891522615568,85.93027857798376,102.168551510874,54.59398627698848,100.02510215998039,True
Retângulo 14,3.0324777952937816,53.37069296399456,30.7740958291544,53.72077129548027,32.523028232112566,78.13429338377752,2.20028786221506,76.22851780271975,True
Retângulo 15,47.14821326295699,73.93656688499807,65.12278535707851,59.40431133535735,27.61667863158046,75.9915724383381,23.94165301361708,97.4452802682822,False
Retângulo 16,10.231033088010744,44.65986619438227,36.067720746969016,44.65986619438227,36.067720746969016,71.91384866038118,10.231033088010744,71.91384866038118,True
Retângulo 17,29.553405800902432,64.74235065861957,55.48781265024984,67.3011014489463,59.17919817022777,90.09803493324596,26.66422874896399,91.38394136520931,True
Retângulo 18,59.66290550134195,6.039584580242019,82.40363195315247,6.039584580242019,82.40363195315247,22.708973023935933,59.66290550134195,22.708973023935933,True
Retângulo 19,29.783748617058464,83.49956714795523,53.09670656970038,83.96139886235193,49.88523201529602,92.71404250800927,27.770709266155507,92.92912896783453,False
Retângulo 20,46.81318747255641,5.199665088201277,61.73676773588636,5.199665088201277,61.73676773588636,26.574727101595187,46.81318747255641,26.574727101595187,True
Retângulo 21,11.262806294343944,72.11647162655088,24.36153280283392,72.14812729366902,25.548320320134888,97.1694644776904,11.178187731182238,98.65845623266439,True
Retângulo 22,55.13947268262181,54.26088202960544,84.24985714879108,51.77103644845471,81.28139598345503,75.6447715552333,54.16072792184657,74.82205446882158,True
Retângulo 23,34.33479488698767,0.6147402820233023,62.378787615717535,2.7982225217675234,62.164913157037525,20.899079984561162,34.112940517380075,17.795932782162232,True
Retângulo 24,91.17562717783099,49.787222219980514,115.40524451680945,48.260092638420836,116.43490851256554,71.34317276168089,92.34279494872048,70.18329169929073,False
Retângulo 25,68.98081521728761,89.85956499850887,79.81478969615547,89.85956499850887,79.81478969615547,108.03565567033046,68.98081521728761,108.03565567033046,True
Retângulo 26,46.9168494802652,84.35091339344687,74.99141453247046,84.35091339344687,74.99141453247046,101.71663113231952,46.9168494802652,101.71663113231952,True
Retângulo 27,14.636175931169081,50.95394393127295,24.39970051317359,51.518231308249945,24.267881731962646,60.75492103860381,14.595997116628267,62.88419955092259,True
Retângulo 28,91.93653893143143,64.94277992960673,119.00553052888114,64.94277992960673,119.00553052888114,78.77964457041674,91.93653893143143,78.77964457041674,True
Retângulo 29,14.842728750145461,41.54733628908013,43.21623182242841,41.54733628908013,43.21623182242841,65.25545945238136,14.842728750145461,65.25545945238136,True
Retângulo 30,22.6240036550973,63.39249571443602,64.47257780064119,56.271827404327226,7.403452429092605,99.76284621065051,79.80805571467725,0.031549695265165045,False
Retângulo 31,17.768681806363617,74.35611767459632,19.77908052695543,4.405729099070066,1.6390596639551447,89.55954752710116,35.87896311347906,10.792068249628173,False
Retângulo 32,45.317944233259,40.44316102334437,52.97993475843642,97.27588176875469,22.887751509732535,63.05702481619735,61.87073235422523,0.16387504356777383,False
Retângulo 33,46.06597538594684,33.75668298475103,74.66715483713033,33.75668298475103,74.66715483713033,57.573384610058355,46.06597538594684,57.573384610058355,True
Retângulo 34,29.68319094504059,38.34893877083068,55.64984246238366,39.567498768459664,53.741832580542415,65.42603095042456,31.05547411069186,63.964809718394854,True
Retângulo 35,40.3482831355496,86.47641416379248,61.38346475855394,46.741002516810724,78.31875463980967,19.240347971549276,99.43693145659437,66.3463838300206,False
Retângulo 36,44.49887251722123,33.4553858649436,14.431047568041134,95.77994527523157,37.661470809748465,38.507708078721336,59.279116218224715,57.45450492219544,False
Retângulo 37,46.00895697761633,65.64258220800414,71.07993072089069,66.60172430603626,68.86350782364707,86.78823132220775,47.02424034884589,89.85872225191963,False
Retângulo 38,99.09908140539582,59.099249116524966,116.53910163162757,59.099249116524966,116.53910163162757,82.77667291232021,99.09908140539582,82.77667291232021,True
Retângulo 39,17.846138064801487,90.94012108313446,36.706525243087114,90.94012108313446,36.706525243087114,102.77953462854151,17.846138064801487,102.77953462854151,True
Retângulo 40,79.61359019901637,70.72310287191165,90.45330831728316,70.72310287191165,90.45330831728316,99.40706775746874,79.61359019901637,99.40706775746874,True
Retângulo 41,81.77276150266898,0.9334918424612759,106.0982585492601,0.9334918424612759,106.0982585492601,29.677506677980656,81.77276150266898,29.677506677980656,True
Retângulo 42,88.92521272709857,48.22016669978718,102.95757519256277,48.22016669978718,102.95757519256277,70.70314809934975,88.92521272709857,70.70314809934975,True
Retângulo 43,15.787937249253492,19.249000889941716,42.783053626366154,22.142368438661222,41.44784464393126,47.62805536355251,14.569688548228708,49.543774454176386,True
Retângulo 44,48.730888814588475,3.6608332215316777,70.87445905096583,2.462442394896055,70.83216370920951,31.10028698333469,52.074902024376065,32.69160867422682,True
Retângulo 45,85.90268892220769,20.074244550523535,111.22924712519111,20.074244550523535,111.22924712519111,37.64909564854624,85.90268892220769,37.64909564854624,True
Retângulo 46,100.17074734712709,3.1586728154147212,111.77969213258346,4.80620744902674,113.57589435214292,30.315734682340025,100.30007491792323,29.857403709391793,True
Retângulo 47,54.768243625380144,6.226782862141689,74.14920088617819,6.226782862141689,74.14920088617819,28.17157919774863,54.768243625380144,28.17157919774863,True
Retângulo 48,59.384520802605245,45.253212468454095,27.307271976831927,74.72373184333976,51.55325128990056,67.70345305628305,9.136166965416848,20.891980919369335,False
Retângulo 49,33.702329589845505,49.43516026498133,73.61566438900117,82.01966775180381,81.5211101117117,36.29827751177347,46.19604960011531,95.71883896454477,False
Retângulo 50,58.08520107026504,55.05403215561373,83.90988793397582,55.05403215561373,83.90988793397582,70.62131448390197,58.08520107026504,70.62131448390197,True
Retângulo 51,39.19178559350443,52.91573087093907,64.84130676483825,52.91573087093907,64.84130676483825,76.4381455011875,39.19178559350443,76.4381455011875,True
Retângulo 52,92.9719923890963,64.43640698104859,97.35681102708722,56.05377149318832,93.85137705203526,68.70717147280794,96.52954727353773,58.26112811733921,False
Retângulo 53,43.88564029665582,2.1078374245504516,59.236660058308004,2.1078374245504516,59.236660058308004,30.338678699629327,43.88564029665582,30.338678699629327,True
Retângulo 54,22.881104353824565,3.7793908703256496,38.77505453394188,3.7793908703256496,38.77505453394188,17.078761845699137,22.881104353824565,17.078761845699137,True
Retângulo 55,54.732083182651714,15.25888355312123,67.79124300087143,13.550328667392975,70.0378430087192,32.45211159598856,53.257291206111155,29.49700026411845,False
Retângulo 56,33.751930766107364,13.423566277601907,29.538317131302172,18.440245871998783,91.7196166357996,96.94023290962616,18.642226360280034,30.93619154261278,False
Retângulo 57,51.19952007710932,48.34929523237735,75.43067662786062,48.34929523237735,75.43067662786062,77.13365433312906,51.19952007710932,77.13365433312906,True
Retângulo 58,16.477568865346782,37.851539120737655,34.9842196376768,37.851539120737655,34.9842196376768,57.89301265215608,16.477568865346782,57.89301265215608,True
Retângulo 59,13.386743712002879,72.33780617023446,37.44477744931682,72.33780617023446,37.44477744931682,94.1258439671964,13.386743712002879,94.1258439671964,True
Retângulo 60,66.82876442204297,51.28923678098246,78.39215141139783,51.28923678098246,78.39215141139783,69.35656180045677,66.82876442204297,69.35656180045677,True
Retângulo 61,0.6498501517900657,1.8647307875459984,64.53629109928379,11.92807380106159,77.1295524496468,48.23256545220648,74.82514594096915,49.03228752615528,False
Retângulo 62,58.91537623353118,73.28694878085926,73.02044877442117,73.28694878085926,73.02044877442117,90.2381369093075,58.91537623353118,90.2381369093075,True
Retângulo 63,10.595663054922937,98.79990097994238,35.85070803415902,99.17797529243292,38.185687529962,125.1770621261433,11.749566021546258,125.64762080226664,True
Retângulo 64,31.176617471381086,86.08119972923873,54.01360391273414,86.08119972923873,54.01360391273414,102.43901436745445,31.176617471381086,102.43901436745445,True
Retângulo 65,52.81458903469437,59.338312993512844,63.58625713787356,59.338312993512844,63.58625713787356,81.01463839756056,52.81458903469437,81.01463839756056,True
Retângulo 66,30.527115904931513,65.76151121619219,46.07164335772913,78.54211908132625,49.99873922130141,30.372683039135794,96.28852563707223,5.124473458265766,False
Retângulo 67,11.796452720618467,30.742285188191186,50.56451620311788,82.43122304491351,10.298876088478192,44.65908277022401,17.353807256741817,78.90343631808554,False
Retângulo 68,23.58377169579472,53.06888660592701,8.873793010241826,2.2542928044678057,95.70703294527844,5.842077118432498,46.463082740797276,66.25676851571343,False
Retângulo 69,2.2808395326402886,18.965924936626276,26.77807972258152,18.965924936626276,26.77807972258152,47.05641989683196,2.2808395326402886,47.05641989683196,True
Retângulo 70,97.77106681165687,60.726465593582205,112.3267436960557,60.726465593582205,112.3267436960557,84.21393897818615,97.77106681165687,84.21393897818615,True
Retângulo 71,29.20110963764182,82.72031752590395,47.8036354089882,82.72031752590395,47.8036354089882,106.418453329159,29.20110963764182,106.418453329159,True
Retângulo 72,60.210836511080025,29.419094156495483,85.01480914605897,30.803881898845763,87.71035972486317,41.514351555894514,58.938450845786306,41.087768388080434,True
Retângulo 73,94.570790300581,63.812730664519904,102.39602156240257,63.0414671092869,102.30818621866037,89.07843419159134,94.09150791363234,90.31104087211155,True
Retângulo 74,83.4057511478523,88.22689771478531,98.49133821123196,88.22689771478531,98.49133821123196,103.87357924345393,83.4057511478523,103.87357924345393,True
Retângulo 75,98.11776836838061,2.9768279465244856,118.94158572647542,3.0260148360487356,120.3080770103853,30.30638295448599,97.51161340403901,29.297818172373294,True
