rectangle,x_A,y_A,x_B,y_B,x_C,y_C,x_D,y_D
Rectangle 1,61.37924049858295,81.37106332971095,61.37924049858295,101.38887976428214,76.70260321320525,101.38887976428214,76.70260321320525,81.37106332971095
Rectangle 2,12.106136821369507,15.79153876464362,12.106136821369507,35.46421274187341,29.888233603609006,35.46421274187341,29.888233603609006,15.79153876464362
Rectangle 3,94.15660276367294,23.398506677212094,94.15660276367294,38.639925868166486,110.90341063863048,38.639925868166486,110.90341063863048,23.398506677212094
Rectangle 4,30.123552441639,46.24239138987366,30.123552441639,72.18056339953566,49.274128175945,72.18056339953566,49.274128175945,46.24239138987366
Rectangle 5,21.980492073842704,63.72585009925969,21.980492073842704,87.53397057865162,39.2453316714807,87.53397057865162,39.2453316714807,63.72585009925969
Rectangle 6,3.596232924038134,72.76740050823726,3.596232924038134,87.3760017997955,23.819444732086584,87.3760017997955,23.819444732086584,72.76740050823726
Rectangle 7,22.709963830690572,78.78686442281989,22.709963830690572,105.50411263541385,35.034955103170546,105.50411263541385,35.034955103170546,78.78686442281989
Rectangle 8,23.081590044208845,28.41727506147762,23.081590044208845,46.35613674736997,52.037746514424654,46.35613674736997,52.037746514424654,28.41727506147762
Rectangle 9,21.692834728226728,46.589392010841436,21.692834728226728,58.67093068782586,49.347471265841584,58.67093068782586,49.347471265841584,46.589392010841436
Rectangle 10,90.55281115729426,96.68085344941211,90.55281115729426,116.9116697586462,104.42318478659604,116.9116697586462,104.42318478659604,96.68085344941211
Rectangle 11,38.2459492095122,64.84721667869805,38.2459492095122,92.30165312873149,58.70781066248397,92.30165312873149,58.70781066248397,64.84721667869805
Rectangle 12,10.821198407267874,68.63321360559304,10.821198407267874,95.22878369340765,39.12205049218256,95.22878369340765,39.12205049218256,68.63321360559304
Rectangle 13,6.251154245334167,73.1879018614898,6.251154245334167,89.08089449921027,22.018404031964657,89.08089449921027,22.018404031964657,73.1879018614898
Rectangle 14,23.469906889441095,64.81049429618508,23.469906889441095,86.69722949324057,41.02923184915697,86.69722949324057,41.02923184915697,64.81049429618508
Rectangle 15,8.38951507945066,75.24881287024027,8.38951507945066,87.64341263707973,30.261358303762243,87.64341263707973,30.261358303762243,75.24881287024027
Rectangle 16,92.58483842256089,12.619074935039375,92.58483842256089,40.64245639176584,108.27771981996116,40.64245639176584,108.27771981996116,12.619074935039375
Rectangle 17,20.32129332351301,10.519816715183605,20.32129332351301,30.80908128326577,50.106432947243626,30.80908128326577,50.106432947243626,10.519816715183605
Rectangle 18,65.13335570944385,52.19933909605076,65.13335570944385,72.45620344807772,83.46148722692273,72.45620344807772,83.46148722692273,52.19933909605076
